2014,2015,2016,2017,2018,2019,2020,2021
721.0,732.0,367.0,395.0,132.0,122.0,895.0,571.0
337.0,306.0,103.0,90.0,768.0,430.0,369.0,457.0
97.0,86.0,331.0,326.0,321.0,337.0,155.0,707.0
320.0,283.0,305.0,81.0,89.0,682.0,325.0,365.0
290.0,461.0,135.0,674.0,289.0,370.0,339.0,147.0
76.0,612.0,288.0,287.0,286.0,94.0,632.0,
299.0,310.0,280.0,113.0,97.0,653.0,387.0,
281.0,82.0,68.0,310.0,254.0,273.0,323.0,133.0
514.0,278.0,262.0,303.0,121.0,89.0,320.0,437.0
92.0,86.0,328.0,336.0,329.0,408.0,245.0,857.0
320.0,314.0,93.0,724.0,385.0,367.0,440.0,147.0
94.0,695.0,331.0,336.0,336.0,82.0,659.0,385.0
107.0,127.0,133.0,344.0,329.0,131.0,139.0,205.0
238.0,270.0,116.0,126.0,534.0,259.0,315.0,
